"prod_id","prod_code","prod_name","prod_img","prod_desc","prod_price","created_at"
"00553b3633","NMQI-7856","KIMBOB PLATTER",,"50 PCS
FLAVORS OPTION:
BEEF | CALIFORNIA |CHICKEN | ORIGINAL | TUNA | PORK | ASSORTED
SAUCE OPTION:
SPICY | MAYO | MUSTARD | WASABI | TONTKATSU","600","2024-03-31 16:32:37.067319"
"020e3b4263","UZPC-9327","Kimbap","kimbap.jpg","Kimbap order good for 1 person.","150","2024-04-03 02:05:23.568189"
"08975cbcf5","JTME-6178","Japchae",,"1 Serve","90","2024-03-31 11:13:50.662140"
"09bb523d8e","MSQB-2438","KIMBOB HALF",,"Chicken | Pork | Beef | Tuna","60","2024-03-31 11:31:39.272868"
"4468fd7258","THLE-1649","Combo KR3",,"Kimbob (Whole) Tuna | Beef | Pork | Chicken
Ramyun (Small)
Iced Tea
You can upsize the ramyun by adding 30â‚±, and it can be half size, while if you want a whole ramyun, you can add 60â‚±.","95","2024-03-31 11:18:46.078412"
"4484586bc8","NRJV-5021","BIBIMBOB",,"Original flavor","100","2024-03-31 11:25:20.466806"
"451313083a","WQGB-6701","Combo KR1",,"Kimbob (Half)  Tuna | Beef | Pork | Chicken
Ramyun (Small)
Iced Tea
You can upsize the ramyun by adding 30â‚±, and it can be half size, while if you want a whole ramyun, you can add 60â‚±.","80","2024-03-31 11:18:20.132889"
"5ab6cdb6f5","TOJS-4589","KIMBOB HALF",,"Original | California","65","2024-03-31 11:32:56.873127"
"5b83df18e8","RVNM-3698","KINGKATSU",,"Big Tongkatsu | Vegie Salad","130","2024-03-31 11:24:07.688497"
"5b907ad5df","WPDM-7915","BIBIM-COMBO BR1",,"Original + Small Ramyun + Iced Tea","135","2024-03-31 11:27:39.885940"
"6fbfdc9bb4","FGOB-1260","KIMBOB WHOLE",,"Original | California","80","2024-03-31 11:32:20.544265"
"8594b5422a","KGXZ-0562","Combo KR4",,"Kimbob (Whole) Original | California
Ramyun (Small)
Iced Tea
You can upsize the ramyun by adding 30â‚±, and it can be half size, while if you want a whole ramyun, you can add 60â‚±.","105","2024-03-31 11:18:54.214823"
"9629232d77","YLOH-6784","SOON-DAK",,"Chicken | Tartar Sauce | Vegie Salad","110","2024-03-31 11:23:28.954750"
"992ea7515e","CARQ-2356","BIBIM-COMBO BR3",,"Tonkatsu + Small Ramyun + Iced Tea","175","2024-03-31 11:29:06.768460"
